<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	04:37:00	4518.033	4518.392	4516.964	4517.536	180	0	160
2025.12.29	04:38:00	4517.535	4517.642	4516.549	4517.243	143	0	160
2025.12.29	04:39:00	4517.176	4517.688	4516.546	4517.188	129	0	160
2025.12.29	04:40:00	4517.183	4517.183	4516.067	4516.356	133	0	160
2025.12.29	04:41:00	4516.347	4516.797	4516.018	4516.086	88	0	160
2025.12.29	04:42:00	4516.092	4516.615	4515.504	4515.520	108	0	160
2025.12.29	04:43:00	4515.496	4516.198	4515.414	4515.682	136	0	160
2025.12.29	04:44:00	4515.678	4516.205	4515.647	4515.672	104	0	160
2025.12.29	04:45:00	4515.654	4516.182	4515.256	4516.130	132	0	160
2025.12.29	04:46:00	4516.165	4516.368	4514.535	4514.665	141	0	160
2025.12.29	04:47:00	4514.643	4515.272	4513.678	4514.434	235	0	160
2025.12.29	04:48:00	4514.473	4514.647	4513.276	4514.629	206	0	160
2025.12.29	04:49:00	4514.615	4515.587	4514.615	4515.487	124	0	160
2025.12.29	04:50:00	4515.448	4515.448	4514.819	4514.930	148	0	160
2025.12.29	04:51:00	4514.862	4515.105	4514.282	4514.586	114	0	160
2025.12.29	04:52:00	4514.564	4515.498	4514.523	4515.186	135	0	160
2025.12.29	04:53:00	4515.229	4515.464	4513.674	4514.032	204	0	160
2025.12.29	04:54:00	4514.067	4514.499	4513.819	4514.225	120	0	160
2025.12.29	04:55:00	4514.181	4514.403	4513.760	4513.911	92	0	160
2025.12.29	04:56:00	4513.953	4516.333	4513.397	4515.869	218	0	160
2025.12.29	04:57:00	4515.852	4516.179	4515.685	4515.989	78	0	160
2025.12.29	04:58:00	4516.027	4516.092	4515.456	4516.062	115	0	160
2025.12.29	04:59:00	4516.088	4516.415	4515.373	4515.736	128	0	160
2025.12.29	05:00:00	4515.684	4515.684	4514.365	4514.751	199	0	160
2025.12.29	05:01:00	4514.763	4514.763	4513.342	4514.412	242	0	160
2025.12.29	05:02:00	4514.400	4514.432	4513.096	4513.341	206	0	160
2025.12.29	05:03:00	4513.300	4513.757	4512.703	4512.918	208	0	160
2025.12.29	05:04:00	4512.972	4513.744	4512.634	4513.023	173	0	160
2025.12.29	05:05:00	4512.967	4513.791	4511.798	4513.470	223	0	160
2025.12.29	05:06:00	4513.497	4514.259	4512.803	4513.121	168	0	160
2025.12.29	05:07:00	4513.072	4513.468	4511.526	4513.355	314	0	160
2025.12.29	05:08:00	4513.354	4513.428	4511.374	4512.057	446	0	160
2025.12.29	05:09:00	4512.093	4512.385	4509.759	4509.759	491	0	160
2025.12.29	05:10:00	4509.868	4512.870	4509.868	4512.870	275	0	160
2025.12.29	05:11:00	4512.903	4514.287	4512.740	4513.755	192	0	160
2025.12.29	05:12:00	4513.726	4514.368	4512.662	4512.662	189	0	160
2025.12.29	05:13:00	4512.735	4514.360	4512.728	4514.145	183	0	160
2025.12.29	05:14:00	4514.167	4515.116	4514.115	4514.612	170	0	160
2025.12.29	05:15:00	4514.619	4515.424	4514.370	4514.664	164	0	160
2025.12.29	05:16:00	4514.754	4515.805	4514.205	4515.325	208	0	160
2025.12.29	05:17:00	4515.290	4515.290	4513.474	4513.790	137	0	160
2025.12.29	05:18:00	4513.786	4513.786	4511.285	4511.594	170	0	160
2025.12.29	05:19:00	4511.553	4512.381	4511.142	4512.256	150	0	160
2025.12.29	05:20:00	4512.155	4513.963	4512.155	4513.963	196	0	160
2025.12.29	05:21:00	4513.959	4514.982	4513.662	4514.981	162	0	160
2025.12.29	05:22:00	4515.017	4515.290	4513.575	4514.284	185	0	160
2025.12.29	05:23:00	4514.358	4515.667	4514.155	4515.087	179	0	160
2025.12.29	05:24:00	4515.124	4515.247	4514.307	4515.247	127	0	160
2025.12.29	05:25:00	4515.212	4515.251	4514.855	4514.995	126	0	160
2025.12.29	05:26:00	4514.995	4515.030	4513.916	4514.051	127	0	160
2025.12.29	05:27:00	4514.015	4514.053	4513.056	4513.675	110	0	160
2025.12.29	05:28:00	4513.664	4514.112	4513.548	4514.022	93	0	160
2025.12.29	05:29:00	4513.981	4514.404	4513.526	4513.977	136	0	160
2025.12.29	05:30:00	4514.019	4514.521	4512.123	4514.521	515	0	160
2025.12.29	05:31:00	4514.546	4516.528	4513.869	4515.294	278	0	160
2025.12.29	05:32:00	4515.295	4516.552	4514.369	4515.473	354	0	160
2025.12.29	05:33:00	4515.439	4515.804	4514.061	4514.499	248	0	160
2025.12.29	05:34:00	4514.481	4515.415	4513.253	4514.311	288	0	160
2025.12.29	05:35:00	4514.342	4515.290	4513.170	4514.535	222	0	160
2025.12.29	05:36:00	4514.512	4517.384	4514.512	4516.743	239	0	160
2025.12.29	05:37:00	4516.772	4517.011	4516.145	4516.719	176	0	160
2025.12.29	05:38:00	4516.730	4518.014	4516.226	4517.189	221	0	160
2025.12.29	05:39:00	4517.290	4517.691	4516.555	4516.781	164	0	160
2025.12.29	05:40:00	4516.818	4518.182	4516.349	4517.742	275	0	160
2025.12.29	05:41:00	4517.743	4518.440	4517.399	4518.022	169	0	160
2025.12.29	05:42:00	4518.047	4519.305	4517.223	4517.837	292	0	160
2025.12.29	05:43:00	4517.756	4517.855	4515.368	4515.714	199	0	160
2025.12.29	05:44:00	4515.700	4516.977	4515.700	4516.484	162	0	160
2025.12.29	05:45:00	4516.561	4517.592	4515.444	4515.467	246	0	160
2025.12.29	05:46:00	4515.416	4515.808	4514.599	4515.465	180	0	160
2025.12.29	05:47:00	4515.427	4516.057	4515.204	4515.341	163	0	160
2025.12.29	05:48:00	4515.333	4515.922	4514.270	4514.745	193	0	160
2025.12.29	05:49:00	4514.706	4515.277	4514.227	4514.381	213	0	160
